Type of Food,Food Prepared,Event Type,Food Consumed,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Meat,950,Corporate,710,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,240
Meat,1000,Birthday,800,Room Temperature,Regular,Winter,Buffet,Suburban,High,200
Vegetables,871,Birthday,702,Refrigerated,Regular,Summer,Buffet,Suburban,Low,169
Meat,997,Birthday,891,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,106
Meat,900,Corporate,700,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,200
Meat,871,Birthday,702,Refrigerated,Regular,Summer,Buffet,Suburban,Low,169
Meat,950,Wedding,640,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,310
Meat,900,Wedding,700,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,200
Fruits,900,Corporate,720,Refrigerated,Regular,All Seasons,Buffet,Urban,High,180
Meat,1000,Corporate,800,Refrigerated,Occasional,Winter,Finger Food,Urban,High,200
Fruits,900,Wedding,720,Room Temperature,Regular,Summer,Buffet,Rural,High,180
Meat,871,Birthday,702,Room Temperature,Regular,Winter,Buffet,Suburban,Low,169
Meat,1000,Wedding,800,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Low,200
Meat,850,Social Gathering,650,Room Temperature,Regular,Winter,Buffet,Urban,Low,200
Fruits,893,Corporate,667,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,226
Meat,950,Wedding,750,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,200
Fruits,900,Birthday,700,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,200
Fruits,1000,Wedding,780,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,220
Fruits,950,Birthday,700,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,250
Meat,800,Social Gathering,620,Room Temperature,Regular,Winter,Buffet,Suburban,Low,180
Meat,950,Corporate,620,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,330
